ΑΜ;Κωδ. μαθ.;Βαθμός
SR000008;P1-5030;2.8
SR000008;P1-5040;8.7
SR000008;P1-5110;0
SR000008;P1-5220;5.8
SR000008;P1-5320;8.9
SR000008;P1-6020;6.6
SR000008;P1-6210;5.9
SR000008;P1-6220;1.5
SR000008;P1-6310;1.5
SR000008;P1-9010;1.5
SR000008;P1-9025;7.6
SR000008;P1-9115;3.2
SR000008;P1-9125;2.8
SR000008;P1-9210;9.9
SR000008;P1-9225;5.2
SR000008;P1-9230;7.1
SR000008;P1-9235;6.6
SR000008;P1-9240;2.8
SR000008;P1-9245;3.8
SR000008;P1-9250;8.7
SR000008;P1-9255;0.5
SR000008;P1-9340;0.5
SR000009;ICE1-1001;8.9
SR000009;ICE1-1002;0.7
SR000009;ICE1-1004;0.1
SR000009;ICE1-2001;4.7
SR000009;ICE1-2005;0.7
SR000009;ICE1-4001;3.6
SR000009;ICE1-5001;4.7
SR000009;P1-1010;8.9
SR000009;P1-1020;0.7
SR000009;P1-1040;0.1
SR000009;P1-2010;0.7
SR000009;P1-2030;10
SR000009;P1-2030;10
SR000009;P1-2030;10
SR000009;P1-2050;4.7
SR000009;P1-3030;3.6
SR000009;P1-4010;4.7
SR000009;P1-4030;3.4
SR000010;ICE1-1003;0.7
SR000010;ICE1-1004;9.8
SR000010;ICE1-1005;0.5
SR000010;P1-1010;8.6
SR000010;P1-1020;6.8
SR000010;P1-1030;0.7
SR000010;P1-1040;9.8
SR000010;P1-1050;0.5
SR000010;P1-1060;0.3
SR000011;ICE1-1001;2.6
SR000011;ICE1-1002;0
SR000011;ICE1-1003;1.5
SR000011;ICE1-1004;9.1
SR000011;ICE1-1005;3.6
SR000011;ICE1-2001;0.5
SR000011;ICE1-2002;4.7
SR000011;ICE1-2004;0.5
SR000011;ICE1-2005;5.9
SR000011;ICE1-2006;3.2
SR000011;ICE1-3001;2.8
SR000011;ICE1-3002;0.2
SR000011;ICE1-3003;7.9
SR000011;ICE1-3004;8.9
SR000011;ICE1-3005;7.9
SR000011;ICE1-3006;8.4
SR000011;ICE1-4001;8.4
SR000011;ICE1-4002;8.9
SR000011;ICE1-4003;7.9
SR000011;ICE1-4004;9.1
SR000011;ICE1-4005;8.4
SR000011;ICE1-4006;6
SR000011;ICE1-5001;0
SR000011;ICE1-5002;2.8
SR000011;ICE1-5003;3.2
SR000011;ICE1-5004;3.2
SR000011;ICE1-5006;1.2
SR000011;ICE1-6001;6.6
SR000011;ICE1-6002;3.1
SR000011;ICE1-6003;7.9
SR000011;ICE1-6005;3.8
SR000011;ICE1-7101;3.2
SR000011;ICE1-7102;7.9
SR000011;ICE1-7106;8.7
SR000011;ICE1-7107;3.2
SR000011;ICE1-7110;3.6
SR000011;ICE1-7112;6.9
SR000011;ICE1-7206;8.4
SR000011;ICE1-8101;8
SR000011;ICE1-8102;2.8
SR000011;ICE1-8107;0
SR000011;ICE1-8110;5.2
SR000011;ICE1-8301;0.2
SR000011;P1-1010;2.6
SR000011;P1-1020;0
SR000011;P1-1030;1.5
SR000011;P1-1040;9.1
SR000011;P1-1050;3.6
SR000011;P1-1060;4.2
SR000011;P1-1060;8.6
SR000011;P1-2010;5.9
SR000011;P1-2020;4.7
SR000011;P1-2030;7.9
SR000011;P1-2040;0.5
SR000011;P1-2050;0.5
SR000011;P1-2060;3.2
SR000011;P1-3010;2.8
SR000011;P1-3020;0.2
SR000011;P1-3030;8.4
SR000011;P1-3040;8.9
SR000011;P1-3050;7.9
SR000011;P1-3060;8.4
SR000011;P1-4010;0
SR000011;P1-4020;8.9
SR000011;P1-4030;7.9
SR000011;P1-4040;9.1
SR000011;P1-4050;8.4
SR000011;P1-4060;6
SR000011;P1-5010;6.6
SR000011;P1-5020;3.2
SR000011;P1-5030;3.2
SR000011;P1-5040;1.2
SR000011;P1-5110;2.8
SR000011;P1-5120;8
SR000011;P1-6010;3.1
SR000011;P1-6020;7.9
SR000011;P1-6110;3.2
SR000011;P1-6120;7.9
SR000011;P1-9120;2.8
SR000011;P1-9125;3.2
SR000011;P1-9130;8.7
SR000011;P1-9145;5.2
SR000011;P1-9155;6.9
SR000011;P1-9160;0
SR000011;P1-9170;3.6
SR000011;P1-9220;8.4
SR000011;P1-9310;0.2
SR000011;P1-9325;3.8
SR000015;ICE1-2001;2.7
SR000015;ICE1-4004;4.7
SR000015;P1-2010;0.3
SR000015;P1-2030;3.4
SR000015;P1-2030;3.4
SR000015;P1-2030;3.4
SR000015;P1-2050;2.7
SR000015;P1-2060;0.3
SR000015;P1-3040;10
SR000015;P1-3050;10
SR000015;P1-4040;4.7
SR000015;P1-5020;7.4
SR000017;ICE1-1002;3.2
SR000017;ICE1-1003;1.3
SR000017;ICE1-1004;6.6
SR000017;ICE1-1005;7.6
SR000017;ICE1-1006;0.5
SR000017;ICE1-2001;7.9
SR000017;ICE1-2005;6.4
SR000017;ICE1-2006;6.7
SR000017;ICE1-3002;7.6
SR000017;ICE1-3003;4.7
SR000017;ICE1-3004;6.3
SR000017;ICE1-3005;8.8
SR000017;ICE1-3006;4.4
SR000017;ICE1-4001;0.5
SR000017;ICE1-4004;2.7
SR000017;ICE1-4006;4.7
SR000017;ICE1-5002;6.4
SR000017;ICE1-5004;4.7
SR000017;ICE1-5005;6.6
SR000017;ICE1-5006;7.1
SR000017;ICE1-6001;1.7
SR000017;ICE1-6003;2.1
SR000017;ICE1-6004;7
SR000017;ICE1-6006;6.6
SR000017;ICE1-7107;8.8
SR000017;ICE1-7201;7.3
SR000017;ICE1-7204;2.7
SR000017;ICE1-7207;0.7
SR000017;ICE1-7208;9.9
SR000017;ICE1-7302;5
SR000017;ICE1-7401;6.6
SR000017;ICE1-8112;7.6
SR000017;ICE1-8201;7
SR000017;ICE1-8202;3.8
SR000017;ICE1-8204;7.2
SR000017;ICE1-8207;6.6
SR000017;P1-1020;3.2
SR000017;P1-1030;1.3
SR000017;P1-1040;6.6
SR000017;P1-1050;7.6
SR000017;P1-1060;0.5
SR000017;P1-2010;6.4
SR000017;P1-2020;10
SR000017;P1-2030;4.7
SR000017;P1-2050;7.9
SR000017;P1-2060;6.7
SR000017;P1-3020;7.6
SR000017;P1-3030;0.5
SR000017;P1-3040;6.3
SR000017;P1-3050;8.8
SR000017;P1-3060;4.4
SR000017;P1-4030;6.8
SR000017;P1-4040;2.7
SR000017;P1-4060;4.7
SR000017;P1-5010;1.7
SR000017;P1-5030;4.7
SR000017;P1-5040;7.1
SR000017;P1-5110;6.4
SR000017;P1-5220;6.6
SR000017;P1-5320;6.6
SR000017;P1-6020;2.1
SR000017;P1-6210;3.8
SR000017;P1-6220;7.3
SR000017;P1-6310;5
SR000017;P1-9010;6.6
SR000017;P1-9025;7.6
SR000017;P1-9115;7.6
SR000017;P1-9125;8.8
SR000017;P1-9210;6.6
SR000017;P1-9225;2.7
SR000017;P1-9230;6
SR000017;P1-9235;7
SR000017;P1-9240;7.2
SR000017;P1-9245;7
SR000017;P1-9250;9.9
SR000017;P1-9255;0.7
SR000018;ICE1-1004;8.8
SR000018;P1-1010;7.5
SR000018;P1-1010;0.3
SR000018;P1-1020;7.5
SR000018;P1-1020;0.3
SR000018;P1-1030;1.1
SR000018;P1-1030;9.3
SR000018;P1-1040;8.8
SR000018;P1-1050;0.3
SR000018;P1-1050;8.6
SR000018;P1-1060;2.9
SR000018;P1-2010;0.3
SR000018;P1-2020;10
SR000018;P1-2050;10
SR000018;P1-2050;10
SR000018;P1-2060;7.5
SR000018;P1-2060;0.3
SR000019;ICE1-1001;4.7
SR000019;ICE1-1002;4.7
SR000019;ICE1-1003;0.1
SR000019;ICE1-1004;0.2
SR000019;ICE1-2001;4.7
SR000019;ICE1-2004;6.3
SR000019;ICE1-2005;8
SR000019;ICE1-3004;0.5
SR000019;ICE1-3005;0.5
SR000019;ICE1-3006;0.5
SR000019;ICE1-4001;0.2
SR000019;ICE1-4002;0.2
SR000019;ICE1-4003;0.2
SR000019;ICE1-4004;1.9
SR000019;ICE1-4005;0.2
SR000019;ICE1-5001;3.2
SR000019;ICE1-5003;0.1
SR000019;ICE1-6001;2.2
SR000019;ICE1-6002;0.7
SR000019;ICE1-6003;7.6
SR000019;ICE1-7102;7.6
SR000019;ICE1-7106;4.7
SR000019;ICE1-7110;0.5
SR000019;ICE1-7112;6.4
SR000019;ICE1-7402;7.6
SR000019;ICE1-8101;0.1
SR000019;ICE1-8110;0.9
SR000019;ICE1-8301;2.1
SR000019;P1-1010;4.7
SR000019;P1-1020;4.7
SR000019;P1-1030;0.1
SR000019;P1-1040;0.2
SR000019;P1-2010;8
SR000019;P1-2040;6.3
SR000019;P1-2050;4.7
SR000019;P1-3030;0.2
SR000019;P1-3040;0.5
SR000019;P1-3050;0.5
SR000019;P1-3060;0.5
SR000019;P1-4010;3.2
SR000019;P1-4020;0.2
SR000019;P1-4030;0.2
SR000019;P1-4040;1.9
SR000019;P1-4050;0.2
SR000019;P1-5010;2.2
SR000019;P1-5020;0.1
SR000019;P1-5030;3.9
SR000019;P1-5120;0.1
SR000019;P1-6010;0.7
SR000019;P1-6020;7.6
SR000019;P1-6120;7.6
SR000019;P1-9030;7.6
SR000019;P1-9130;4.7
SR000019;P1-9145;0.9
SR000019;P1-9155;6.4
SR000019;P1-9170;0.5
SR000019;P1-9310;2.1
SR000020;ICE1-4001;0.5
SR000020;P1-3030;0.5
SR000021;ICE1-1001;4.7
SR000021;ICE1-1003;8.2
SR000021;ICE1-1005;7.6
SR000021;ICE1-2001;3.6
SR000021;ICE1-2002;7.6
SR000021;ICE1-2005;6.6
SR000021;ICE1-3002;7.6
SR000021;ICE1-3003;0.5
SR000021;ICE1-3005;8
SR000021;ICE1-4001;4.7
SR000021;ICE1-4003;7.6
SR000021;ICE1-4005;0.7
SR000021;ICE1-5001;8.8
SR000021;ICE1-5006;7.6
SR000021;ICE1-8101;4.7
SR000021;P1-1010;4.7
SR000021;P1-1030;8.2
SR000021;P1-1050;7.6
SR000021;P1-1060;8.6
SR000021;P1-2010;6.6
SR000021;P1-2020;7.6
SR000021;P1-2030;8.6
SR000021;P1-2030;8.6
SR000021;P1-2030;8.6
SR000021;P1-2030;0.5
SR000021;P1-2050;3.6
SR000021;P1-2060;7.5
SR000021;P1-3020;7.6
SR000021;P1-3030;4.7
SR000021;P1-3040;4.3
SR000021;P1-3040;8.6
SR000021;P1-3050;8
SR000021;P1-4010;8.8
SR000021;P1-4030;7.6
SR000021;P1-4050;0.7
SR000021;P1-5040;8.6
SR000021;P1-5040;7.6
SR000021;P1-5120;4.7
SR000025;ICE1-1003;8.2
SR000025;P1-1030;8.2
SR000028;ICE1-1001;7.6
SR000028;ICE1-1002;4.7
SR000028;ICE1-1005;4.7
SR000028;ICE1-1006;4.7
SR000028;ICE1-2001;4.7
SR000028;ICE1-2002;7.6
SR000028;ICE1-2006;0.2
SR000028;ICE1-3005;4.7
SR000028;ICE1-4001;4.7
SR000028;ICE1-4002;4.7
SR000028;ICE1-4003;4.7
SR000028;ICE1-5001;7.6
SR000028;P1-1010;7.6
SR000028;P1-1020;8.6
SR000028;P1-1020;4.7
SR000028;P1-1030;3.5
SR000028;P1-1030;2
SR000028;P1-1050;4.7
SR000028;P1-1060;6.8
SR000028;P1-1060;4.7
SR000028;P1-2010;1.1
SR000028;P1-2020;8.6
SR000028;P1-2020;7.6
SR000028;P1-2050;4.7
SR000028;P1-2060;0.2
SR000028;P1-3030;4.7
SR000028;P1-3040;5.6
SR000028;P1-3040;8.6
SR000028;P1-3050;6.8
SR000028;P1-3050;4.7
SR000028;P1-4010;7.6
SR000028;P1-4010;7.6
SR000028;P1-4010;7.6
SR000028;P1-4010;7.6
SR000028;P1-4020;4.7
SR000028;P1-4030;6.8
SR000028;P1-4030;4.7
SR000029;ICE1-1001;4.7
SR000029;ICE1-1003;0.9
SR000029;ICE1-1004;8.8
SR000029;ICE1-2001;0.5
SR000029;ICE1-2005;4.7
SR000029;ICE1-3004;0.7
SR000029;ICE1-4001;7.9
SR000029;ICE1-4003;6.9
SR000029;ICE1-5001;3.6
SR000029;P1-1010;4.7
SR000029;P1-1030;0.9
SR000029;P1-1040;8.8
SR000029;P1-1060;10
SR000029;P1-2010;4.7
SR000029;P1-2050;0.5
SR000029;P1-2060;7.5
SR000029;P1-3030;7.9
SR000029;P1-3040;0.7
SR000029;P1-4010;3.6
SR000029;P1-4030;6.9
SR000029;P1-5020;8.1
SR000029;P1-5030;6.8
SR000029;P1-5040;1.8
SR000029;P1-5110;3.7
SR000029;P1-5120;0.3
SR000029;P1-6010;0.3
SR000029;P1-6020;4
SR000029;P1-6110;2
SR000029;P1-6120;0.3
SR000029;P1-9125;8.6
SR000030;P1-1010;10
SR000030;P1-1020;10
SR000030;P1-1030;2
SR000030;P1-1030;7.5
SR000030;P1-1050;7.5
SR000030;P1-1060;1.8
SR000030;P1-2010;0.3
SR000030;P1-2020;10
SR000030;P1-2030;3.5
SR000030;P1-2030;3.5
SR000030;P1-2030;3.5
SR000030;P1-2050;7.5
SR000030;P1-2060;1.1
SR000034;ICE1-1001;2.7
SR000034;ICE1-1003;7.6
SR000034;ICE1-1004;4.7
SR000034;ICE1-2001;7.6
SR000034;ICE1-3004;4.7
SR000034;ICE1-3005;4.7
SR000034;ICE1-3006;3.1
SR000034;ICE1-4001;0.5
SR000034;ICE1-4002;4.7
SR000034;ICE1-4003;0.2
SR000034;ICE1-5001;0.5
SR000034;ICE1-6001;7.6
SR000034;ICE1-6002;4.7
SR000034;ICE1-6003;4.7
SR000034;ICE1-7302;6.4
SR000034;ICE1-8109;7.6
SR000034;P1-1010;2.7
SR000034;P1-1030;7.6
SR000034;P1-1040;4.7
SR000034;P1-2010;7.5
SR000034;P1-2050;7.6
SR000034;P1-3030;0.5
SR000034;P1-3040;4.7
SR000034;P1-3050;4.7
SR000034;P1-3060;3.1
SR000034;P1-4010;0.5
SR000034;P1-4020;4.7
SR000034;P1-4030;0.2
SR000034;P1-4040;0.4
SR000034;P1-5010;7.6
SR000034;P1-5120;4.3
SR000034;P1-6010;4.7
SR000034;P1-6020;3.7
SR000034;P1-6020;4.7
SR000034;P1-6310;6.4
SR000034;P1-9135;7.6
SR000035;ICE1-1001;0.7
SR000035;ICE1-1002;0
SR000035;ICE1-1003;6.9
SR000035;ICE1-1004;8.8
SR000035;ICE1-1005;4.7
SR000035;ICE1-1006;8.4
SR000035;ICE1-2001;7.6
SR000035;ICE1-2002;4.7
SR000035;ICE1-2005;9.9
SR000035;ICE1-2006;0.5
SR000035;ICE1-3001;3.6
SR000035;ICE1-3002;4.7
SR000035;ICE1-3004;8.8
SR000035;ICE1-3005;7.6
SR000035;ICE1-3006;7.6
SR000035;ICE1-4001;7.6
SR000035;ICE1-4002;3.6
SR000035;ICE1-4003;6.4
SR000035;ICE1-4004;8
SR000035;ICE1-4005;0.2
SR000035;ICE1-4006;0.7
SR000035;ICE1-5001;0.5
SR000035;ICE1-5002;8
SR000035;ICE1-5003;8.8
SR000035;ICE1-5004;7.6
SR000035;ICE1-5006;7.6
SR000035;ICE1-6001;1.7
SR000035;ICE1-6002;7.1
SR000035;ICE1-6003;8
SR000035;ICE1-6005;8.2
SR000035;ICE1-6006;8.8
SR000035;ICE1-7001;1.7
SR000035;ICE1-7108;7.6
SR000035;ICE1-7110;0.7
SR000035;ICE1-7204;0.5
SR000035;ICE1-7301;6
SR000035;ICE1-7302;2.7
SR000035;ICE1-8101;1.2
SR000035;ICE1-8109;0
SR000035;ICE1-8301;0.2
SR000035;ICE1-8305;1.2
SR000035;ICE1-8401;6
SR000035;P1-1010;0.7
SR000035;P1-1020;0
SR000035;P1-1030;6.9
SR000035;P1-1040;8.8
SR000035;P1-1050;4.7
SR000035;P1-1060;8.4
SR000035;P1-2010;9.9
SR000035;P1-2020;4.7
SR000035;P1-2050;7.6
SR000035;P1-2060;0.5
SR000035;P1-3010;3.6
SR000035;P1-3020;4.7
SR000035;P1-3030;7.6
SR000035;P1-3040;8.8
SR000035;P1-3050;7.6
SR000035;P1-3060;7.6
SR000035;P1-4010;0.5
SR000035;P1-4020;3.6
SR000035;P1-4030;6.4
SR000035;P1-4040;8
SR000035;P1-4050;0.2
SR000035;P1-4060;0.7
SR000035;P1-5010;1.7
SR000035;P1-5020;8.8
SR000035;P1-5030;7.6
SR000035;P1-5040;7.6
SR000035;P1-5110;8
SR000035;P1-5120;1.2
SR000035;P1-5210;1.7
SR000035;P1-5320;8.8
SR000035;P1-6010;7.1
SR000035;P1-6020;8
SR000035;P1-6310;2.7
SR000035;P1-6320;6
SR000035;P1-9015;6
SR000035;P1-9135;0
SR000035;P1-9140;7.6
SR000035;P1-9170;0.7
SR000035;P1-9225;0.5
SR000035;P1-9310;0.2
SR000035;P1-9325;8.2
SR000035;P1-9340;1.2
SR000036;ICE1-1001;7.6
SR000036;ICE1-1002;0
SR000036;ICE1-1003;7.1
SR000036;ICE1-1004;0.7
SR000036;ICE1-1005;4.7
SR000036;ICE1-2001;4.7
SR000036;ICE1-2002;3.2
SR000036;ICE1-2005;7.1
SR000036;ICE1-2006;0.7
SR000036;ICE1-3001;4.7
SR000036;ICE1-3002;0.7
SR000036;ICE1-3003;7.6
SR000036;ICE1-3005;1.2
SR000036;ICE1-3006;7.6
SR000036;ICE1-4001;2.8
SR000036;ICE1-4002;0.7
SR000036;ICE1-4003;0.5
SR000036;ICE1-4004;0.2
SR000036;ICE1-4005;4.7
SR000036;ICE1-5001;0
SR000036;P1-1010;7.6
SR000036;P1-1020;0
SR000036;P1-1030;7.1
SR000036;P1-1040;0.7
SR000036;P1-1050;4.7
SR000036;P1-1060;7.4
SR000036;P1-2010;7.1
SR000036;P1-2020;3.2
SR000036;P1-2030;7.6
SR000036;P1-2030;7.6
SR000036;P1-2030;7.6
SR000036;P1-2050;4.7
SR000036;P1-2060;0.7
SR000036;P1-3010;4.7
SR000036;P1-3020;0.7
SR000036;P1-3030;2.8
SR000036;P1-3040;3.4
SR000036;P1-3050;1.2
SR000036;P1-3060;7.6
SR000036;P1-4010;0
SR000036;P1-4010;0
SR000036;P1-4010;0
SR000036;P1-4010;0
SR000036;P1-4020;0.7
SR000036;P1-4030;0.5
SR000036;P1-4040;0.2
SR000036;P1-4050;3.4
SR000036;P1-4050;4.7
SR000037;ICE1-1001;4.7
SR000037;ICE1-1003;2.7
SR000037;ICE1-1004;9.8
SR000037;ICE1-2005;0.5
SR000037;ICE1-3005;0.7
SR000037;ICE1-4001;6.4
SR000037;ICE1-4002;4.7
SR000037;ICE1-5001;0.2
SR000037;P1-1010;4.7
SR000037;P1-1030;2.7
SR000037;P1-1040;9.8
SR000037;P1-2010;0.5
SR000037;P1-3030;6.4
SR000037;P1-3040;8.6
SR000037;P1-3040;5.4
SR000037;P1-3050;0.7
SR000037;P1-3060;1.1
SR000037;P1-4010;0.2
SR000037;P1-4020;4.7
SR000037;P1-4030;0.3
SR000037;P1-4030;1.1
SR000037;P1-5020;0.3
SR000037;P1-5120;1.1
SR000037;P1-5120;8.6
SR000038;ICE1-1001;4.7
SR000038;ICE1-1002;4.7
SR000038;ICE1-1003;1.2
SR000038;ICE1-1004;8.9
SR000038;ICE1-1005;0.2
SR000038;ICE1-2001;7.6
SR000038;ICE1-2002;4.7
SR000038;ICE1-2005;2.8
SR000038;ICE1-3003;8.4
SR000038;ICE1-3004;0.2
SR000038;ICE1-3005;3.1
SR000038;ICE1-3006;0.2
SR000038;ICE1-4001;2.8
SR000038;ICE1-4002;7.6
SR000038;ICE1-4003;1.2
SR000038;ICE1-4004;0.2
SR000038;ICE1-4005;0
SR000038;ICE1-5001;3.2
SR000038;P1-1010;4.7
SR000038;P1-1020;4.7
SR000038;P1-1030;1.2
SR000038;P1-1040;8.9
SR000038;P1-1050;0.2
SR000038;P1-2010;2.8
SR000038;P1-2020;4.7
SR000038;P1-2030;8.4
SR000038;P1-2050;7.6
SR000038;P1-3020;2.9
SR000038;P1-3030;2.8
SR000038;P1-3040;0.2
SR000038;P1-3050;3.1
SR000038;P1-3060;0.2
SR000038;P1-4010;3.2
SR000038;P1-4010;3.2
SR000038;P1-4010;3.2
SR000038;P1-4010;3.2
SR000038;P1-4020;7.6
SR000038;P1-4030;1.2
SR000038;P1-4040;0.2
SR000038;P1-4040;0.2
SR000038;P1-4050;0
SR000038;P1-5020;2.9
SR000038;P1-5030;0.3
SR000039;ICE1-1001;0.5
SR000039;ICE1-1002;2.8
SR000039;ICE1-1003;6
SR000039;ICE1-1004;6.9
SR000039;ICE1-1005;0
SR000039;ICE1-1006;1.7
SR000039;ICE1-2001;2.6
SR000039;ICE1-2002;7.6
SR000039;ICE1-2005;2.1
SR000039;ICE1-2006;7.9
SR000039;ICE1-3001;4.7
SR000039;ICE1-3002;3.8
SR000039;ICE1-3003;8
SR000039;ICE1-3004;4.7
SR000039;ICE1-3005;7.6
SR000039;ICE1-3006;2.7
SR000039;ICE1-4001;6.3
SR000039;ICE1-4002;4.7
SR000039;ICE1-4003;3.2
SR000039;ICE1-4006;4.7
SR000039;ICE1-5001;3.2
SR000039;ICE1-5003;1.9
SR000039;ICE1-5004;4.7
SR000039;ICE1-5005;8.8
SR000039;ICE1-5006;4.7
SR000039;ICE1-6001;9.8
SR000039;ICE1-6004;0.9
SR000039;ICE1-6006;3.1
SR000039;ICE1-7001;1.2
SR000039;ICE1-7204;0
SR000039;ICE1-7208;9.9
SR000039;ICE1-7404;0.5
SR000039;ICE1-8202;3.8
SR000039;P1-1010;0.5
SR000039;P1-1020;2.8
SR000039;P1-1030;6
SR000039;P1-1040;6.9
SR000039;P1-1050;0
SR000039;P1-1060;1.7
SR000039;P1-2010;2.1
SR000039;P1-2020;7.6
SR000039;P1-2030;8
SR000039;P1-2050;2.6
SR000039;P1-2060;7.9
SR000039;P1-3010;7.5
SR000039;P1-3010;4.7
SR000039;P1-3020;3.8
SR000039;P1-3030;6.3
SR000039;P1-3040;6.8
SR000039;P1-3040;4.7
SR000039;P1-3050;7.6
SR000039;P1-3060;2.7
SR000039;P1-4010;3.2
SR000039;P1-4010;3.2
SR000039;P1-4010;3.2
SR000039;P1-4010;3.2
SR000039;P1-4020;8.6
SR000039;P1-4020;4.7
SR000039;P1-4030;3.2
SR000039;P1-4060;4.7
SR000039;P1-5010;9.8
SR000039;P1-5020;1.9
SR000039;P1-5030;4.7
SR000039;P1-5040;3.4
SR000039;P1-5040;4.7
SR000039;P1-5210;1.2
SR000039;P1-5220;8.8
SR000039;P1-5320;3.1
SR000039;P1-6010;7.5
SR000039;P1-6010;1.8
SR000039;P1-6210;3.8
SR000039;P1-9025;0.5
SR000039;P1-9225;0
SR000039;P1-9235;0.9
SR000039;P1-9250;9.9
SR000040;ICE1-1003;7.6
SR000040;ICE1-1004;7.6
SR000040;ICE1-3004;4.7
SR000040;ICE1-3005;0.1
SR000040;ICE1-4001;3.6
SR000040;ICE1-5001;0.2
SR000040;ICE1-6003;3.8
SR000040;ICE1-7102;6.9
SR000040;P1-1020;8.6
SR000040;P1-1030;7.6
SR000040;P1-1040;7.6
SR000040;P1-2010;1.8
SR000040;P1-2030;10
SR000040;P1-2030;10
SR000040;P1-2030;10
SR000040;P1-3030;3.6
SR000040;P1-3040;4.7
SR000040;P1-3050;0.1
SR000040;P1-4010;0.2
SR000040;P1-4030;6.8
SR000040;P1-5020;10
SR000040;P1-5030;6.1
SR000040;P1-6010;4.7
SR000040;P1-6020;3.8
SR000040;P1-6120;6.9
SR000040;P1-9125;0.3
SR000042;ICE1-1003;0.5
SR000042;ICE1-2005;2.1
SR000042;ICE1-2006;0.5
SR000042;ICE1-3001;4.7
SR000042;ICE1-3005;3.2
SR000042;ICE1-4001;4.7
SR000042;ICE1-4002;7.6
SR000042;ICE1-4003;0.2
SR000042;ICE1-4005;3.2
SR000042;ICE1-5001;3.2
SR000042;P1-1030;0.5
SR000042;P1-2010;2.1
SR000042;P1-2020;6.8
SR000042;P1-2060;0.5
SR000042;P1-3010;4.7
SR000042;P1-3020;8.6
SR000042;P1-3030;4.7
SR000042;P1-3040;3.4
SR000042;P1-3050;3.2
SR000042;P1-4010;3.2
SR000042;P1-4010;3.2
SR000042;P1-4010;3.2
SR000042;P1-4010;3.2
SR000042;P1-4020;7.6
SR000042;P1-4030;0.2
SR000042;P1-4050;3.2
SR000043;ICE1-1001;0.5
SR000043;ICE1-1002;4.7
SR000043;ICE1-1003;4.7
SR000043;ICE1-1005;4.7
SR000043;ICE1-1006;7.6
SR000043;ICE1-2001;4.7
SR000043;ICE1-2002;0.5
SR000043;ICE1-2005;2.7
SR000043;ICE1-2006;0.7
