Κωδικός;Τίτλος;ΠΣ
ICE1-7204;ΕΝΣΩΜΑΤΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ;5
ICE1-7205;ΟΛΟΚΛΗΡΩΜΕΝΑ ΚΥΚΛΩΜΑΤΑ ΓΙΑ ΕΞΕΙΔΙΚΕΥΜΕΝΕΣ ΕΦΑΡΜΟΓΕΣ;5
ICE1-7206;ΠΑΡΑΛΛΗΛΑ ΣΥΣΤΗΜΑΤΑ;5
ICE1-7207;ΡΟΜΠΟΤΙΚΗ;5
ICE1-7208;ΣΧΕΔΙΑΣΗ ΟΛΟΚΛΗΡΩΜΕΝΩΝ ΚΥΚΛΩΜΑΤΩΝ VLSI;5
ICE1-7209;ΥΠΟΛΟΓΙΣΤΙΚΑ ΣΥΣΤΗΜΑΤΑ ΥΨΗΛΗΣ ΑΞΙΟΠΙΣΤΙΑΣ;5
ICE1-7301;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;5
ICE1-7302;ΑΣΦΑΛΕΙΑ ΔΙΚΤΥΩΝ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΩΝ;5
ICE1-7303;ΒΕΛΤΙΣΤΟΠΟΙΗΣΗ;5
ICE1-7304;ΔΙΑΔΙΚΤΥΟ ΤΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ;5
ICE1-7305;ΔΙΚΤΥΑ ΟΠΤΙΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;5
ICE1-7306;ΚΑΝΟΝΙΣΤΙΚΟ ΠΛΑΙΣΙΟ ΑΣΦΑΛΕΙΑΣ ΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΠΛΗΡΟΦΟΡΙΩΝ;5
ICE1-7307;ΚΡΥΠΤΟΓΡΑΦΙΑ;5
ICE1-7308;ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΑ ΣΥΣΤΗΜΑΤΑ;5
ICE1-7401;ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΟΥ;5
ICE1-7402;ΕΚΠΑΙΔΕΥΤΙΚΗ ΤΕΧΝΟΛΟΓΙΑ & ΔΙΔΑΚΤΙΚΗ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ;5
ICE1-7403;ΙΣΤΟΡΙΑ ΤΗΣ ΤΕΧΝΟΛΟΓΙΑΣ;5
ICE1-7404;ΔΙΚΑΙΟ ΚΑΙ ΚΥΒΕΡΝΟΗΘΙΚΗ;5
ICE1-8101;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;5
ICE1-8102;ΓΡΑΦΙΚΑ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-8103;ΔΙΑΧΕΙΡΙΣΗ ΔΕΔΟΜΕΝΩΝ ΜΕΓΑΛΗΣ ΚΛΙΜΑΚΑΣ;5
ICE1-8104;ΕΠΕΞΕΡΓΑΣΙΑ ΦΥΣΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΣΗΜΑΣΙΟΛΟΓΙΚΟΣ ΙΣΤΟΣ;5
ICE1-8105;ΕΥΦΥΗ ΣΥΣΤΗΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ ΥΠΟΣΤΗΡΙΞΗΣ ΑΠΟΦΑΣΕΩΝ;5
ICE1-8106;ΗΛΕΚΤΡΟΝΙΚΗ ΜΑΘΗΣΗ;5
ICE1-8107;ΗΛΕΚΤΡΟΝΙΚΟ ΕΜΠΟΡΙΟ - ΕΠΙΧΕΙΡΗΜΑΤΙΚΟΤΗΤΑ;5
ICE1-8108;ΘΕΩΡΙΑ ΓΡΑΦΗΜΑΤΩΝ ΚΑΙ ΕΦΑΡΜΟΓΕΣ;5
ICE1-8109;ΘΕΩΡΙΑ ΠΑΙΓΝΙΩΝ;5
ICE1-8110;ΝΕΥΡΩΝΙΚΑ ΔΙΚΤΥΑ;5
ICE1-8111;ΟΡΑΣΗ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-8112;ΣΧΕΔΙΑΣΗ ΠΑΙΧΝΙΔΙΩΝ & ΕΦΑΡΜΟΓΩΝ ΕΙΚΟΝΙΚΗΣ & ΕΠΑΥΞΗΜΕΝΗΣ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑΣ;5
ICE1-8201;ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-8202;ΠΡΟΗΓΜΕΝΗ ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-8203;ΑΣΦΑΛΕΙΑ ΚΑΙ ΑΞΙΟΠΙΣΤΙΑ ΥΛΙΚΟΥ;5
ICE1-8204;ΜΗΧΑΤΡΟΝΙΚΗ;5
ICE1-8205;ΠΡΟΗΓΜΕΝΗ ΣΧΕΔΙΑΣΗ ΚΑΙ ΣΥΝΘΕΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-8206;ΣΤΟΧΑΣΤΙΚΑ ΚΑΙ ΜΗ ΓΡΑΜΜΙΚΑ ΣΥΣΤΗΜΑΤΑ;5
ICE1-8207;ΨΗΦΙΑΚΟΣ ΕΛΕΓΧΟΣ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-8301;ΔΙΚΤΥΑ ΚΙΝΗΤΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;5
ICE1-8302;ΥΠΟΛΟΓΙΣΤΙΚΗ ΝΕΦΟΥΣ ΚΑΙ ΥΠΗΡΕΣΙΕΣ;5
ICE1-8303;ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ ΑΙΣΘΗΤΗΡΩΝ;5
ICE1-8304;ΔΙΚΤΥΩΣΗ ΟΡΙΖΟΕΝΗ ΑΠΟ ΤΟ ΛΟΓΙΣΜΙΚΟ;5
ICE1-8305;ΕΥΡΥΖΩΝΙΚΑ ΔΙΚΤΥΑ;5
ICE1-8306;ΠΟΛΥΜΕΣΑ ΚΑΙ ΠΟΛΥΜΕΣΙΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;5
ICE1-8307;ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΚΙΝΗΤΩΝ ΣΥΣΚΕΥΩΝ;5
ICE1-8401;ΠΛΗΡΟΦΟΡΙΚΗ ΚΑΙ ΚΟΙΝΩΝΙΑ - ΤΕΧΝΙΚΗ ΤΗΣ ΕΚΦΡΑΣΗΣ;5
ICE1-8402;ΦΙΛΟΣΟΦΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΣΥΓΧΡΟΝΕΣ ΕΦΑΡΜΟΓΕΣ ΤΩΝ ΤΠΕ;5
P1-1010;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ;4
P1-1020;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;4
P1-1030;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-1040;ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-1050;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;4
P1-1060;ΦΥΣΙΚΗ;4
P1-2010;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;4
P1-2020;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;4
P1-2030;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;4
P1-2040;ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΕΦΗΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;4
P1-2050;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;4
P1-2060;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;4
P1-3010;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;4
P1-3020;ΗΛΕΚΤΡΟΝΙΚΗ;4
P1-3030;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;4
P1-3040;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;4
P1-3050;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;4
P1-3060;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-4010;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;4
P1-4020;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;4
P1-4030;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;4
P1-4040;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;4
P1-4050;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;4
P1-4060;ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ;4
P1-5010;ΤΕΧΝΟΛΟΓΙΑ ΛΟΓΙΣΜΙΚΟΥ;4
P1-5020;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;4
P1-5030;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;4
P1-5040;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;4
P1-5110;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;4
P1-5120;ΑΛΛΗΛΕΠΙΔΡΑΣΗ ΑΝΘΡΩΠΟΥ-ΥΠΟΛΟΓΙΣΤΗ;4
P1-5210;ΤΕΧΝΟΛΟΓΙΑ ΥΠΟΛΟΓΙΣΤΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;4
P1-5220;ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΟΣ;4
P1-5320;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;4
P1-6010;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;4
P1-6020;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;4
P1-6110;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ;4
P1-6120;ΑΝΑΚΤΗΣΗ ΠΛΗΡΟΦΟΡΙΑΣ;4
P1-6210;ΠΡΟΗΓΜΕΝΗ ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-6220;ΜΙΚΡΟΕΛΕΓΚΤΕΣ;4
P1-6310;ΔΙΑΧΕΙΡΙΣΗ ΚΑΙ ΑΣΦΑΛΕΙΑ ΔΙΚΤΥΩΝ;4
P1-6320;ΠΡΟΗΓΜΕΝΕΣ ΔΙΚΤΥΑΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ;4
P1-9010;ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ;4
P1-9015;ΠΛΗΡΟΦΟΡΙΚΗ ΚΑΙ ΚΟΙΝΩΝΙΑ - ΤΕΧΝΙΚΗ ΤΗΣ ΕΚΦΡΑΣΗΣ;4
P1-9020;ΙΣΤΟΡΙΑ ΤΗΣ ΤΕΧΝΟΛΟΓΙΑΣ;4
P1-9025;ΔΙΚΑΙΟ ΚΑΙ ΚΥΒΕΡΝΟΗΘΙΚΗ;4
P1-9030;ΕΚΠΑΙΔΕΥΤΙΚΗ ΤΕΧΝΟΛΟΓΙΑ & ΔΙΔΑΚΤΙΚΗ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ;4
P1-9110;ΓΛΩΣΣΙΚΗ ΑΝΑΛΥΣΗ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗ ΠΛΗΡΟΦΟΡΙΑΣ;4
P1-9115;ΣΧΕΔΙΑΣΜΟΣ ΠΑΙΧΝΙΔΙΩΝ ΚΑΙ ΕΦΑΡΜΟΓΩΝ ΕΙΚΟΝΙΚΗΣ ΚΑΙ ΕΠΑΥΞΗΜΕΝΗΣ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑΣ;4
P1-9120;ΓΡΑΦΙΚΑ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-9125;ΕΠΕΞΕΡΓΑΣΙΑ ΕΙΚΟΝΑΣ;4
P1-9130;ΕΞΟΡΥΞΗ ΔΕΔΟΜΕΝΩΝ;4
P1-9135;ΘΕΩΡΙΑ ΠΑΙΓΝΙΩΝ;4
P1-9140;ΕΠΙΧΕΙΡΗΣΙΑΚΗ ΕΡΕΥΝΑ;4
P1-9145;ΝΕΥΡΩΝΙΚΑ ΔΙΚΤΥΑ;4
P1-9150;ΕΥΦΥΗ ΣΥΣΤΗΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ ΥΠΟΣΤΗΡΙΞΗΣ ΑΠΟΦΑΣΕΩΝ;4
P1-9155;ΠΟΙΟΤΗΤΑ ΚΑΙ ΑΞΙΟΠΙΣΤΙΑ ΛΟΓΙΣΜΙΚΟΥ;4
P1-9160;ΗΛΕΚΤΡΟΝΙΚΟ ΕΜΠΟΡΙΟ - ΕΠΙΧΕΙΡΗΜΑΤΙΚΟΤΗΤΑ;4
P1-9170;ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΔΙΟΙΚΗΣΗΣ;4
P1-9180;ΟΡΑΣΗ ΥΠΟΛΟΓΙΣΤΩΝ;4
P1-9210;ΨΗΦΙΑΚΟΣ ΕΛΕΓΧΟΣ ΣΥΣΤΗΜΑΤΩΝ;4
P1-9215;ΑΣΦΑΛΕΙΑ ΚΑΙ ΑΞΙΟΠΙΣΤΙΑ ΥΛΙΚΟΥ;4
P1-9220;ΠΑΡΑΛΛΗΛΑ ΣΥΣΤΗΜΑΤΑ;4
P1-9225;ΕΝΣΩΜΑΤΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ;4
P1-9230;ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΠΥΡΗΝΑ ΣΥΣΤΗΜΑΤΩΝ;4
P1-9235;ΜΙΚΡΟΗΛΕΚΤΡΟΝΙΚΗ;4
P1-9240;ΜΗΧΑΤΡΟΝΙΚΗ;4
P1-9245;ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΣΥΣΤΗΜΑΤΩΝ;4
P1-9250;ΣΧΕΔΙΑΣΗ ΟΛΟΚΛΗΡΩΜΕΝΩΝ ΚΥΚΛΩΜΑΤΩΝ VLSI;4
P1-9255;ΡΟΜΠΟΤΙΚΗ;4
P1-9310;ΔΙΚΤΥΑ ΚΙΝΗΤΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;4
P1-9315;ΔΙΚΤΥΑ ΟΠΤΙΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ;4
P1-9320;ΑΣΥΡΜΑΤΑ ΔΙΚΤΥΑ ΑΙΣΘΗΤΗΡΩΝ;4
P1-9325;ΚΑΤΑΝΕΜΗΜΕΝΑ ΣΥΣΤΗΜΑΤΑ;4
P1-9330;ΒΕΛΤΙΣΤΟΠΟΙΗΣΗ;4
P1-9335;ΠΟΛΥΜΕΣΑ ΚΑΙ ΠΟΛΥΜΕΣΙΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;4
P1-9340;ΕΥΡΥΖΩΝΙΚΑ ΔΙΚΤΥΑ;4
P1-9350;ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΚΙΝΗΤΩΝ ΣΥΣΚΕΥΩΝ;4
